V1,V2,weight
1,27,3
1,134,1
1,159,1
2,33,3
2,144,1
2,159,1
2,62,1
2,79,1
3,190,1
3,125,1
3,1,1
3,162,1
3,26,1
3,36,1
3,4,2
4,192,1
4,28,3
4,167,2
4,64,2
4,62,2
4,126,1
4,169,2
4,115,1
4,40,1
4,36,3
4,87,2
4,159,2
5,8,3
5,41,3
5,106,2
5,13,3
5,18,1
5,142,1
5,62,1
5,134,1
5,87,2
5,79,1
5,144,1
5,159,1
5,177,1
5,135,1
7,66,2
7,148,1
7,9,3
7,144,3
7,134,1
7,151,3
7,17,1
7,20,1
7,131,2
8,21,3
8,134,1
8,144,1
8,159,1
8,5,1
9,144,3
9,134,2
9,7,3
9,81,2
9,86,1
9,120,1
9,52,1
9,181,1
10,30,2
10,35,1
10,19,1
11,31,3
11,144,1
11,159,1
11,87,1
11,157,1
11,166,1
11,54,1
12,16,3
12,159,1
12,17,1
12,118,1
12,187,1
12,46,1
13,94,2
13,15,1
13,5,3
13,116,1
13,168,1
13,87,2
13,62,1
13,135,1
14,8,1
14,25,3
14,16,3
14,191,3
14,58,2
15,6,3
15,13,3
15,32,2
15,180,2
15,144,1
15,134,1
16,14,3
16,12,3
16,62,1
16,159,1
16,67,1
16,147,1
16,33,1
16,25,1
16,134,1
17,102,1
17,39,1
17,173,1
17,12,1
17,72,1
17,83,1
17,178,1
17,141,1
18,32,3
18,144,1
18,134,1
18,8,1
18,15,1
18,150,1
18,79,1
18,147,1
19,144,1
19,22,3
19,17,3
19,134,1
19,79,2
19,159,1
20,34,3
20,144,3
20,134,3
20,7,3
20,77,2
20,123,1
20,82,1
20,161,3
20,194,2
20,156,1
21,92,2
21,145,2
21,8,1
21,87,1
21,65,1
21,107,1
21,5,1
21,159,1
21,134,1
22,113,2
22,133,2
22,172,1
22,127,1
22,105,1
22,100,1
22,53,1
22,119,1
22,186,1
23,153,1
23,26,3
23,188,1
23,93,1
23,114,1
23,112,1
23,71,1
24,144,1
24,89,2
24,171,1
24,70,1
25,99,2
25,14,3
26,23,2
26,30,1
26,80,1
27,1,2
27,144,1
27,136,1
28,35,1
28,62,1
28,4,2
28,159,1
29,35,3
29,69,1
29,144,1
29,147,1
29,79,1
30,10,2
30,159,1
30,79,1
31,60,1
31,185,1
31,144,1
31,159,1
31,134,1
31,79,1
31,78,1
31,44,1
31,45,1
31,11,3
31,35,1
32,18,3
32,144,2
32,134,2
32,79,1
32,55,1
32,87,1
32,147,1
32,62,1
33,16,1
34,20,3
34,144,3
34,104,1
34,175,2
34,134,2
35,152,1
35,128,1
35,29,3
35,11,1
35,31,1
35,159,1
35,144,1
