V1,V2,weight
1,27,3
1,159,1
1,134,1
2,33,2
2,62,1
2,159,1
2,79,1
2,144,1
3,97,1
3,96,1
3,98,1
3,124,2
3,51,1
3,36,3
3,1,1
3,26,1
3,4,1
4,28,3
4,62,1
4,79,1
4,159,1
4,134,1
4,167,3
4,48,2
4,115,1
4,169,1
4,40,1
4,64,1
4,140,1
5,170,1
5,13,3
5,41,2
5,8,2
5,144,1
5,79,1
5,134,1
6,184,3
6,15,3
6,13,3
6,31,2
6,174,2
6,154,2
6,134,2
7,66,2
7,68,3
7,50,3
7,131,2
7,176,1
7,155,3
7,76,2
7,144,2
7,9,3
7,146,1
8,21,3
9,52,1
9,181,1
9,120,2
9,7,3
9,144,3
9,81,2
9,86,1
9,139,2
9,75,2
9,132,2
9,183,1
9,110,1
9,85,1
10,30,2
10,91,1
10,95,1
11,31,2
11,144,1
11,134,1
11,159,1
12,16,3
12,118,1
12,57,1
13,94,3
13,116,2
13,168,2
13,15,2
13,5,3
14,25,3
14,16,2
14,191,2
14,144,1
14,108,3
15,180,2
15,6,3
15,38,2
15,13,1
15,32,3
16,14,1
16,12,2
17,22,3
17,19,3
18,144,1
18,32,3
19,22,3
19,17,3
20,161,3
20,194,3
20,34,3
20,144,2
20,156,1
20,134,1
20,73,1
21,92,3
21,145,3
21,65,3
21,8,3
21,5,1
22,144,1
22,19,3
22,17,3
22,113,1
22,133,1
22,134,1
22,62,1
22,159,1
23,26,3
23,71,2
23,153,2
23,111,2
23,188,1
25,99,1
25,179,1
25,121,1
25,14,3
26,23,3
26,1,2
26,3,2
27,1,1
27,144,1
28,4,2
28,134,1
29,35,3
29,37,1
30,10,3
30,163,1
30,182,1
30,144,1
30,26,2
30,22,1
30,159,1
30,134,1
31,44,1
31,60,1
31,185,1
31,42,1
31,11,3
31,35,1
32,18,3
32,144,1
32,101,1
32,138,1
33,2,3
35,152,1
35,29,3
35,63,1
35,189,1
