id,role,community
1,Student,Professional
2,Student,Professional
3,Student,Professional
4,Student,Professional
5,Student,Professional
6,Student,Professional
7,Student,Professional
8,Student,Professional
9,Student,Professional
10,Student,Professional
11,Student,Professional
12,Student,Professional
13,Student,Professional
14,Student,Professional
15,Student,Professional
16,Student,Professional
17,Student,Professional
18,Student,Professional
19,Student,Professional
20,Student,Professional
21,Student,Professional
22,Student,Professional
23,Student,Professional
24,Student,Professional
25,Student,Professional
26,Student,Professional
27,Student,Professional
28,Student,Professional
29,Student,Professional
30,Student,Professional
31,Student,Professional
32,Student,Professional
33,Student,Professional
34,Student,Professional
35,Student,Professional
36,Student,Professional
37,Friend,Personal
38,Family member,Personal
39,Family member,Personal
40,Friend,Personal
41,Friend,Personal
42,Family member,Personal
43,Friend,Personal
44,Friend,Personal
45,Friend,Personal
46,Friend,Personal
47,Family member,Personal
48,Friend,Personal
49,Friend,Personal
50,Family member,Personal
51,Friend,Personal
52,Friend,Personal
53,Friend,Personal
54,Other person,Professional
55,Friend,Personal
56,Friend,Personal
57,Other person,Professional
58,Friend,Personal
59,Friend,Personal
60,Family member,Personal
61,Friend,Personal
62,TA,Professional_I
63,Family member,Personal
64,Friend,Personal
65,Friend,Personal
66,Family member,Personal
67,Other person,Professional
68,Family member,Personal
69,Family member,Personal
70,Friend,Personal
71,Friend,Personal
72,Friend,Personal
73,Other person,Professional
74,Other person,Other person
75,Family member,Personal
76,Friend,Personal
77,Friend,Personal
78,Friend,Personal
79,TA,Professional_I
80,Family member,Personal
81,Family member,Personal
82,Friend,Personal
83,Family member,Personal
84,Friend,Personal
85,Friend,Personal
86,Friend,Personal
87,TA,Professional_I
88,Friend,Personal
89,Friend,Personal
90,Other person,Other person
91,Friend,Personal
92,Friend,Personal
93,Friend,Personal
94,Friend,Personal
95,Family member,Personal
96,Family member,Personal
97,Family member,Personal
98,Family member,Personal
99,Friend,Personal
100,Friend,Personal
101,Friend,Personal
102,Friend,Personal
103,Friend,Personal
104,Family member,Personal
105,Friend,Personal
106,Friend,Personal
107,Friend,Personal
108,Family member,Personal
109,Friend,Personal
110,Friend,Personal
111,Friend,Personal
112,Friend,Personal
113,Family member,Personal
114,Friend,Personal
115,Friend,Personal
116,Family member,Personal
117,Family member,Personal
118,Family member,Personal
119,Friend,Personal
120,Friend,Personal
121,Family member,Personal
122,Family member,Personal
123,Friend,Personal
124,Friend,Personal
125,Friend,Personal
126,Friend,Personal
127,Friend,Personal
128,Friend,Personal
129,Friend,Personal
130,Family member,Personal
131,Other person,Personal
132,Friend,Personal
133,Family member,Personal
134,Instructor,Professional_I
135,Other person,Professional
136,Friend,Personal
137,Friend,Personal
138,Family member,Personal
139,Friend,Personal
140,Friend,Personal
141,Friend,Personal
142,Friend,Personal
143,Friend,Personal
144,Instructor,Professional_I
145,Friend,Personal
146,Friend,Personal
147,TA,Professional_I
148,Friend,Personal
149,Friend,Personal
150,Friend,Personal
151,Friend,Personal
152,Friend,Personal
153,Friend,Personal
154,Friend,Personal
155,Family member,Personal
156,Other person,Other person
157,Family member,Personal
158,Friend,Personal
159,Instructor,Professional_I
160,Family member,Personal
161,Family member,Personal
162,Family member,Personal
163,Family member,Personal
164,Friend,Personal
165,Friend,Personal
166,Other person,Professional
167,Friend,Personal
168,Family member,Personal
169,Friend,Personal
170,Family member,Personal
171,Friend,Personal
172,Friend,Personal
173,Friend,Personal
174,Friend,Personal
175,Friend,Personal
176,Friend,Personal
177,Other person,Professional
178,Friend,Personal
179,Family member,Personal
180,Family member,Personal
181,Friend,Personal
182,Family member,Personal
183,Friend,Personal
184,Family member,Personal
185,Family member,Personal
186,Friend,Personal
187,Family member,Personal
188,Family member,Personal
189,Family member,Personal
190,Friend,Personal
191,Friend,Personal
192,Friend,Personal
193,Friend,Personal
194,Family member,Personal
