V1, V2
6,3576
7,1032
7,2094
7,3380
8,1486
8,1424
8,1486
8,1682
8,1424
8,1615
8,1682
8,2801
8,2120
9,1812
10,1537
11,3272
11,2336
11,1929
11,1067
11,1333
15,1374
16,1374
22,1430
23,1300
23,3399
23,2422
23,2782
23,2219
23,2124
24,1448
25,2124
25,2124
26,1270
26,2491
26,2422
26,2782
26,2219
26,2124
26,2124
29,3546
29,3109
30,2238
30,1268
30,1527
30,1036
30,3119
30,1755
31,1268
31,1036
31,1030
33,1643
33,1332
33,1503
33,2857
33,2853
33,1052
33,1397
33,1694
33,3617
33,1127
33,1127
33,1140
34,2774
35,1795
38,3546
38,3109
43,1168
43,2109
45,2002
45,1104
46,1697
51,3546
51,3109
52,1003
52,3092
52,3547
52,1805
52,2916
52,3680
52,1805
52,1040
52,3863
52,1616
52,1164
52,1460
52,1802
52,1336
52,1253
52,1590
52,2125
52,2446
52,2428
52,2057
53,3546
53,3109
54,1197
54,2564
54,3762
54,1624
55,3546
55,3109
56,1194
57,3546
57,3109
58,3546
58,3109
59,1425
59,2782
62,3546
62,3109
63,3546
63,3109
65,3546
65,3109
66,3546
66,3109
68,3546
68,3109
69,3546
69,3109
71,3546
71,3109
72,3546
72,3109
73,3057
73,1521
74,3546
74,3109
75,1816
76,1054
77,1027
77,1046
77,1598
78,3561
78,1596
78,2733
78,2925
78,1265
78,3651
78,3489
78,2877
78,3129
78,1451
78,3459
78,3072
78,1309
78,2232
78,3083
78,2232
78,3702
78,3072
78,1512
78,3702
78,3397
79,1111
79,2918
79,1992
79,3259
79,3259
79,2498
79,1992
80,1279
85,1091
88,1689
88,1580
88,1478
89,3594
91,3259
91,1817
91,1759
92,3226
92,1633
96,1726
100,1340
105,1605
105,3079
105,1735
108,3753
108,3109
108,2797
110,1530
111,1495
111,1495
112,1345
115,1536
115,3314
121,3150
121,3594
122,1739
122,1642
122,1086
123,1587
123,1409
123,3407
123,3407
123,3489
123,1451
123,3459
123,3072
123,2232
123,1512
123,3459
124,1347
126,3259
126,2498
126,1576
126,3226
126,1687
126,2918
127,1138
127,3120
127,1683
129,3594
131,1350
135,1026
135,2801
136,2109
136,1069
137,1291
137,1398
137,3493
137,1523
138,1745
140,3622
140,3682
141,3716
141,1577
141,3716
141,3075
141,1577
141,1577
141,3716
141,3326
141,3871
141,3349
141,2539
141,3706
141,3706
141,2674
141,1894
141,2801
141,2801
141,2801
141,3657
141,2149
141,3080
141,3162
141,3162
145,1088
145,1439
148,1803
148,2073
148,2801
148,2801
149,1068
149,2936
149,2290
149,2335
149,1299
150,2697
150,2697
150,1509
150,1392
150,1672
153,3753
162,2782
162,3753
162,3109
162,2797
165,1062
167,3753
167,3109
167,2797
169,2649
169,3200
169,1358
169,1167
175,3454
175,2141
175,1776
179,3753
179,3753
179,2797
180,1419
180,1570
181,3848
182,2340
184,1173
184,1768
185,1160
191,1567
193,1650
194,1206
195,1489
195,2635
195,1489
197,3282
