id, ECLI, rechtbank, rechtsgebied, subrechtsgebied
1, ECLI:NL:GHSHE:2025:1365, Civiel recht, Insolventierecht
2, ECLI:NL:HR:2011:BP2975, Bestuursrecht, Belastingrecht
3, ECLI:NL:RBAMS:2021:7910, Civiel recht, Verbintenissenrecht
4, ECLI:NL:RVS:2018:3620, Bestuursrecht, 
5, ECLI:NL:CRVB:2023:2195, Bestuursrecht, Socialezekerheidsrecht
6, ECLI:NL:RVS:2024:939, Bestuursrecht, 
7, ECLI:NL:RVS:2019:3382, Bestuursrecht, 
8, ECLI:NL:HR:2016:2228, Civiel recht, 
9, ECLI:NL:GHSHE:2015:1106, Civiel recht, Arbeidsrecht
10, ECLI:NL:HR:2018:1810, Civiel recht, 
11, ECLI:NL:RVS:2025:5131, Bestuursrecht, Vreemdelingenrecht
12, ECLI:NL:HR:2025:987, Strafrecht, 
13, ECLI:NL:HR:2024:775, Bestuursrecht, Belastingrecht
14, ECLI:NL:RBDHA:2025:18903, Bestuursrecht, Vreemdelingenrecht
15, ECLI:NL:RVS:2024:4648, Bestuursrecht, Vreemdelingenrecht
16, ECLI:NL:HR:2022:640, Bestuursrecht, Belastingrecht
17, ECLI:NL:RBDHA:2025:15892, Bestuursrecht, Vreemdelingenrecht
18, ECLI:NL:RVS:2023:1698, Bestuursrecht, 
19, ECLI:NL:RVS:2025:4361, Bestuursrecht, Vreemdelingenrecht
20, ECLI:NL:GHAMS:2025:475, Bestuursrecht, Belastingrecht
21, ECLI:NL:HR:2013:1211, Bestuursrecht, Belastingrecht
22, ECLI:NL:HR:2024:1178, Bestuursrecht, Belastingrecht
23, ECLI:NL:RBDHA:2025:14408, Strafrecht, 
24, ECLI:NL:HR:2012:BY2665, Bestuursrecht, Belastingrecht
25, ECLI:NL:RVS:2022:3352, Bestuursrecht, Vreemdelingenrecht
26, ECLI:NL:HR:2021:504, Bestuursrecht, Belastingrecht
27, ECLI:NL:GHARL:2023:5143, Civiel recht, Personen- en familierecht
28, ECLI:NL:RVS:2025:5171, Bestuursrecht, Vreemdelingenrecht
29, ECLI:NL:RVS:2023:3298, Bestuursrecht, 
30, ECLI:NL:HR:2011:BP6285, Bestuursrecht, Belastingrecht
31, ECLI:NL:RVS:2024:570, Bestuursrecht, Vreemdelingenrecht
32, ECLI:NL:RVS:2019:120, Bestuursrecht, Vreemdelingenrecht
33, ECLI:NL:HR:1981:AG4158, Civiel recht, 
34, ECLI:NL:RVS:2024:4296, Bestuursrecht, Vreemdelingenrecht
35, ECLI:NL:RVS:2020:3139, Bestuursrecht, 
36, ECLI:NL:HR:2008:BD3167, Bestuursrecht, Belastingrecht
37, ECLI:NL:RVS:2015:674, Bestuursrecht, Vreemdelingenrecht
38, ECLI:NL:RVS:2025:5170, Bestuursrecht, Vreemdelingenrecht
39, ECLI:NL:RVS:2023:4118, Bestuursrecht, 
40, ECLI:NL:GHAMS:2009:BK4981, Civiel recht, 
41, ECLI:NL:HR:2020:563, Strafrecht, 
42, ECLI:NL:HR:2024:704, Bestuursrecht, Belastingrecht
43, ECLI:NL:CRVB:2020:559, Bestuursrecht, Socialezekerheidsrecht
44, ECLI:NL:HR:2016:1129, Bestuursrecht, Belastingrecht
45, ECLI:NL:RBROT:2025:8380, Bestuursrecht, Bestuursprocesrecht
46, ECLI:NL:HR:2021:227, Civiel recht, 
47, ECLI:NL:HR:2025:1435, Internationaal publiekrecht, 
48, ECLI:NL:HR:2018:1312, Bestuursrecht, Belastingrecht
49, ECLI:NL:RVS:2019:665, Bestuursrecht, Vreemdelingenrecht
50, ECLI:NL:RVS:2024:777, Bestuursrecht, Vreemdelingenrecht
51, ECLI:NL:HR:1996:ZC2052, Civiel recht, 
52, ECLI:NL:HR:1996:AA2004, Bestuursrecht, Belastingrecht
53, ECLI:NL:RBAMS:2022:7937, Strafrecht, Europees strafrecht
54, ECLI:NL:RBOVE:2024:6748, Bestuursrecht, Vreemdelingenrecht
55, ECLI:NL:OGHACMB:2022:2, Bestuursrecht, 
56, ECLI:NL:RBDHA:2025:10057, Bestuursrecht, Vreemdelingenrecht
57, ECLI:NL:GHARL:2025:2112, Strafrecht, 
58, ECLI:NL:HR:1992:ZC0729, Civiel recht, 
59, ECLI:NL:HR:1994:ZC1561, Civiel recht, 
60, ECLI:NL:CRVB:2023:985, Bestuursrecht, Socialezekerheidsrecht
61, ECLI:NL:CRVB:2010:BN3307, Bestuursrecht, Socialezekerheidsrecht
62, ECLI:NL:RVS:2021:2044, Bestuursrecht, Vreemdelingenrecht
63, ECLI:NL:RBOBR:2021:1809, Bestuursrecht, Vreemdelingenrecht
64, ECLI:NL:RBOVE:2025:3134, Civiel recht, 
65, ECLI:NL:RVS:2022:1910, Bestuursrecht, 
66, ECLI:NL:HR:2005:AU4300, Bestuursrecht, Belastingrecht
67, ECLI:NL:GHAMS:2022:3789, Bestuursrecht, Belastingrecht
68, ECLI:NL:RVS:2025:875, Bestuursrecht, 
69, ECLI:NL:RVS:2024:4865, Bestuursrecht, 
70, ECLI:NL:GHARL:2018:6402, Bestuursrecht, Bestuursstrafrecht
71, ECLI:NL:RVS:2017:1434, Bestuursrecht, Omgevingsrecht
72, ECLI:NL:GHARL:2022:9934, Strafrecht, Strafprocesrecht
73, ECLI:NL:RVS:2025:678, Bestuursrecht, 
74, ECLI:NL:RBDHA:2025:4659, Bestuursrecht, Vreemdelingenrecht
75, ECLI:NL:GHARL:2021:1786, Bestuursrecht, Bestuursstrafrecht
76, ECLI:NL:GHARL:2016:4501, Civiel recht, Personen- en familierecht
77, ECLI:NL:HR:2022:752, Bestuursrecht, Belastingrecht
78, ECLI:NL:RBAMS:2024:3311, Strafrecht, Europees strafrecht
79, ECLI:NL:GHSHE:2022:1818, Bestuursrecht, Belastingrecht
80, ECLI:NL:HR:2018:313, Civiel recht, 
81, ECLI:NL:RVS:2019:2912, Bestuursrecht, 
82, ECLI:NL:HR:1994:ZC5609, Bestuursrecht, Belastingrecht
83, ECLI:NL:RVS:2025:157, Bestuursrecht, Vreemdelingenrecht
84, ECLI:NL:RVS:2018:320, Bestuursrecht, Omgevingsrecht
85, ECLI:NL:HR:2012:BV0663, Bestuursrecht, Belastingrecht
86, ECLI:NL:CRVB:2025:613, Bestuursrecht, Socialezekerheidsrecht
87, ECLI:NL:CRVB:2016:3501, Bestuursrecht, Socialezekerheidsrecht
88, ECLI:NL:RBZWB:2023:8339, Bestuursrecht, Socialezekerheidsrecht
89, ECLI:NL:GHDHA:2025:220, Bestuursrecht, Belastingrecht
90, ECLI:NL:RVS:2025:2936, Bestuursrecht, Vreemdelingenrecht
91, ECLI:NL:HR:2018:1414, Civiel recht, Personen- en familierecht
92, ECLI:NL:RVS:2025:2349, Bestuursrecht, Vreemdelingenrecht
93, ECLI:NL:GHSHE:2024:2940, Bestuursrecht, Belastingrecht
94, ECLI:NL:HR:2024:857, Bestuursrecht, Belastingrecht
95, ECLI:NL:CRVB:2022:2461, Bestuursrecht, Socialezekerheidsrecht
96, ECLI:NL:RVS:2015:739, Bestuursrecht, Vreemdelingenrecht
97, ECLI:NL:RVS:2017:3514, Bestuursrecht, 
98, ECLI:NL:RVS:2024:1796, Bestuursrecht, Vreemdelingenrecht
99, ECLI:NL:OGHACMB:2024:14, Bestuursrecht, 
100, ECLI:NL:HR:2015:1083, Bestuursrecht, Belastingrecht
101, ECLI:NL:RVS:2025:2177, Bestuursrecht, 
102, ECLI:NL:RVS:2025:3690, Bestuursrecht, 
103, ECLI:NL:HR:2014:525, Civiel recht, 
104, ECLI:NL:HR:2025:667, Civiel recht, Burgerlijk procesrecht
105, ECLI:NL:RVS:2023:1393, Bestuursrecht, Vreemdelingenrecht
106, ECLI:NL:RVS:2025:1032, Bestuursrecht, 
107, ECLI:NL:RVS:2018:1416, Bestuursrecht, Vreemdelingenrecht
108, ECLI:NL:RVS:2021:1405, Bestuursrecht, 
109, ECLI:NL:HR:2013:963, Strafrecht, 
110, ECLI:NL:PHR:2017:1414, Bestuursrecht, Belastingrecht
111, ECLI:NL:HR:2024:1724, Civiel recht, 
112, ECLI:NL:RVS:2017:967, Bestuursrecht, Omgevingsrecht
113, ECLI:NL:RBSGR:1996:AL8932, Bestuursrecht, Omgevingsrecht
114, ECLI:NL:RVS:2025:5220, Bestuursrecht, Vreemdelingenrecht
115, ECLI:NL:OGEAA:2021:646, Bestuursrecht, 
116, ECLI:NL:RVS:2023:3300, Bestuursrecht, Omgevingsrecht
117, ECLI:NL:CRVB:2012:BV1028, Bestuursrecht, Socialezekerheidsrecht
118, ECLI:NL:RVS:2016:2840, Bestuursrecht, 
119, ECLI:NL:RBDHA:2025:10278, Bestuursrecht, Vreemdelingenrecht
120, ECLI:NL:RVS:2022:2341, Bestuursrecht, Vreemdelingenrecht
121, ECLI:NL:CRVB:2025:1068, Bestuursrecht, Socialezekerheidsrecht
122, ECLI:NL:OGHACMB:2017:64, Bestuursrecht, 
123, ECLI:NL:RVS:2021:953, Bestuursrecht, Omgevingsrecht
124, ECLI:NL:RVS:2024:747, Bestuursrecht, Vreemdelingenrecht
125, ECLI:NL:RVS:2025:1035, Bestuursrecht, 
126, ECLI:NL:HR:2020:154, Bestuursrecht, Belastingrecht
127, ECLI:NL:GHAMS:2009:BJ1298, Bestuursrecht, Belastingrecht
128, ECLI:NL:HR:2005:AS4167, Civiel recht, 
129, ECLI:NL:HR:2018:2358, Bestuursrecht, Belastingrecht
130, ECLI:NL:HR:2024:1060, Bestuursrecht, Belastingrecht
131, ECLI:NL:CRVB:2024:2194, Bestuursrecht, Socialezekerheidsrecht
132, ECLI:NL:CRVB:2024:2195, Bestuursrecht, Socialezekerheidsrecht
133, ECLI:NL:HR:2009:BG8790, Civiel recht, Ondernemingsrecht
134, ECLI:NL:GHARL:2020:2320, Bestuursrecht, Bestuursstrafrecht
135, ECLI:NL:RVS:2020:2069, Bestuursrecht, Vreemdelingenrecht
136, ECLI:NL:HR:2021:1660, Bestuursrecht, Belastingrecht
137, ECLI:NL:HR:2000:AA6341, Civiel recht, Personen- en familierecht
138, ECLI:NL:HR:1987:AG5500, Civiel recht, 
139, ECLI:NL:HR:2024:853, Bestuursrecht, Belastingrecht
140, ECLI:NL:HR:1996:AA1935, Bestuursrecht, Belastingrecht
141, ECLI:NL:HR:2000:AA8610, Bestuursrecht, Belastingrecht
142, ECLI:NL:CRVB:2015:2446, Bestuursrecht, Ambtenarenrecht
143, ECLI:NL:RBGEL:2019:1211, Bestuursrecht, Socialezekerheidsrecht
144, ECLI:NL:CRVB:2024:2321, Bestuursrecht, Socialezekerheidsrecht
145, ECLI:NL:HR:2019:130, Strafrecht, 
146, ECLI:NL:RVS:2020:1624, Bestuursrecht, Vreemdelingenrecht
147, ECLI:NL:RVS:2017:917, Bestuursrecht, 
148, ECLI:NL:GHDHA:2024:754, Bestuursrecht, Belastingrecht
149, ECLI:NL:GHARL:2023:3449, Bestuursrecht, Belastingrecht
