id, ECLI, rechtbank, rechtsgebied, subrechtsgebied
1, ECLI:NL:RVS:2019:3684, Bestuursrecht, Vreemdelingenrecht
2, ECLI:NL:HR:1998:ZC2789, Civiel recht, 
3, ECLI:NL:HR:1994:ZC1440, Civiel recht, 
4, ECLI:NL:RBAMS:2019:6589, Bestuursrecht, 
5, ECLI:NL:CRVB:2013:BZ8062, Bestuursrecht, Socialezekerheidsrecht
6, ECLI:NL:CBB:2023:32, Bestuursrecht, 
7, ECLI:NL:CRVB:2019:4170, Bestuursrecht, Socialezekerheidsrecht
8, ECLI:NL:RVS:2025:5171, Bestuursrecht, Vreemdelingenrecht
9, ECLI:NL:GHDHA:2024:1917, Bestuursrecht, Belastingrecht
10, ECLI:NL:PHR:2021:1064, Civiel recht, 
11, ECLI:NL:RBAMS:2021:5051, Strafrecht, Europees strafrecht
12, ECLI:NL:RVS:2023:3208, Bestuursrecht, 
13, ECLI:NL:RVS:2022:878, Bestuursrecht, Vreemdelingenrecht
14, ECLI:NL:RVS:2010:BO3512, Bestuursrecht, 
15, ECLI:NL:HR:2013:BX9407, Strafrecht, 
16, ECLI:NL:GHAMS:2019:1327, Civiel recht, 
17, ECLI:NL:CBB:2024:31, Bestuursrecht, 
18, ECLI:NL:HR:2006:AY9497, Bestuursrecht, Belastingrecht
19, ECLI:NL:GHARL:2020:1657, Bestuursrecht, Belastingrecht
20, ECLI:NL:RVS:2020:792, Bestuursrecht, 
21, ECLI:NL:HR:2024:50, Bestuursrecht, Belastingrecht
22, ECLI:NL:RBDHA:2019:10513, Civiel recht, 
23, ECLI:NL:RVS:2004:AO2390, Bestuursrecht, 
24, ECLI:NL:CBB:2022:149, Bestuursrecht, 
25, ECLI:NL:RBDHA:2023:14204, Bestuursrecht, 
26, ECLI:NL:RVS:2023:714, Bestuursrecht, 
27, ECLI:NL:CRVB:2020:2995, Bestuursrecht, Socialezekerheidsrecht
28, ECLI:NL:CRVB:2021:1500, Bestuursrecht, Socialezekerheidsrecht
29, ECLI:NL:HR:1994:ZC1445, Civiel recht, 
30, ECLI:NL:HR:2014:3603, Bestuursrecht, Belastingrecht
31, ECLI:NL:GHAMS:2019:2491, Bestuursrecht, Belastingrecht
32, ECLI:NL:RBOBR:2022:3577, Bestuursrecht, Bestuursprocesrecht
33, ECLI:NL:RVS:2021:2793, Bestuursrecht, Vreemdelingenrecht
34, ECLI:NL:RVS:2015:1753, Bestuursrecht, 
35, ECLI:NL:HR:2011:BP3057, Civiel recht, 
36, ECLI:NL:CRVB:2016:445, Bestuursrecht, Socialezekerheidsrecht
37, ECLI:NL:HR:2013:48, Civiel recht, Insolventierecht
38, ECLI:NL:CRVB:2023:950, Bestuursrecht, Socialezekerheidsrecht
39, ECLI:NL:RVS:2014:2483, Bestuursrecht, Vreemdelingenrecht
40, ECLI:NL:HR:2015:660, Bestuursrecht, Belastingrecht
41, ECLI:NL:HR:2015:67, Bestuursrecht, Belastingrecht
42, ECLI:NL:RVS:2024:190, Bestuursrecht, Vreemdelingenrecht
43, ECLI:NL:RVS:2018:2264, Bestuursrecht, Vreemdelingenrecht
44, ECLI:NL:HR:2013:1211, Bestuursrecht, Belastingrecht
45, ECLI:NL:HR:2000:AA7956, Strafrecht, 
46, ECLI:NL:RBMNE:2023:627, Bestuursrecht, Omgevingsrecht
47, ECLI:NL:RVS:2012:BW6882, Bestuursrecht, 
48, ECLI:NL:RVS:2016:1314, Bestuursrecht, 
49, ECLI:NL:RVS:2023:1566, Bestuursrecht, Vreemdelingenrecht
50, ECLI:NL:CRVB:2023:1051, Bestuursrecht, Ambtenarenrecht
51, ECLI:NL:RVS:2013:BZ8428, Bestuursrecht, 
52, ECLI:NL:GHARL:2021:1904, Bestuursrecht, Belastingrecht
53, ECLI:NL:CBB:2012:BW7869, Bestuursrecht, 
54, ECLI:NL:RVS:2018:1802, Bestuursrecht, Vreemdelingenrecht
55, ECLI:NL:HR:2004:AO7721, Civiel recht, 
56, ECLI:NL:CRVB:2014:3564, Bestuursrecht, Socialezekerheidsrecht
57, ECLI:NL:HR:2003:AF7103, Bestuursrecht, Belastingrecht
58, ECLI:NL:RVS:2018:3760, Bestuursrecht, Vreemdelingenrecht
59, ECLI:NL:RVS:2014:2537, Bestuursrecht, 
60, ECLI:NL:GHARL:2020:1803, Bestuursrecht, Bestuursstrafrecht
61, ECLI:NL:RVS:2022:1558, Bestuursrecht, 
62, ECLI:NL:HR:2005:AO9006, Bestuursrecht, Belastingrecht
63, ECLI:NL:HR:2000:AA8256, Civiel recht, 
64, ECLI:NL:CRVB:2012:BY6005, Bestuursrecht, Ambtenarenrecht
65, ECLI:NL:GHSHE:2011:BV2713, Bestuursrecht, Belastingrecht
66, ECLI:NL:CBB:2018:279, Bestuursrecht, 
67, ECLI:NL:RBDHA:2022:7454, Bestuursrecht, Vreemdelingenrecht
68, ECLI:NL:HR:2021:1677, Civiel recht, 
69, ECLI:NL:HR:2014:346, Bestuursrecht, Belastingrecht
70, ECLI:NL:RVS:2015:763, Bestuursrecht, 
71, ECLI:NL:RVS:2010:BL1859, Bestuursrecht, 
72, ECLI:NL:RBOVE:2019:2141, Civiel recht, 
73, ECLI:NL:RVS:2019:3100, Bestuursrecht, 
74, ECLI:NL:GHAMS:2022:499, Bestuursrecht, Belastingrecht
75, ECLI:NL:CRVB:2017:4068, Bestuursrecht, Socialezekerheidsrecht
76, ECLI:NL:RVS:2013:2109, Bestuursrecht, 
77, ECLI:NL:PHR:2023:1224, Bestuursrecht, Belastingrecht
78, ECLI:NL:RVS:2020:1671, Bestuursrecht, Omgevingsrecht
79, ECLI:NL:GHAMS:2019:3423, Civiel recht, 
80, ECLI:NL:HR:2014:3191, Bestuursrecht, Belastingrecht
81, ECLI:NL:GHAMS:2024:3707, Bestuursrecht, Belastingrecht
82, ECLI:NL:HR:2014:194, Strafrecht, 
83, ECLI:NL:RVS:2023:3134, Bestuursrecht, Vreemdelingenrecht
84, ECLI:NL:GHARL:2020:8988, Civiel recht, 
85, ECLI:NL:RBGEL:2021:639, Bestuursrecht, Belastingrecht
86, ECLI:NL:RVS:2018:4180, Bestuursrecht, 
