V1,V2,weight
1,27,3
1,159,1
1,134,1
2,33,2
2,159,1
2,79,1
2,62,1
2,134,1
3,190,1
3,125,1
3,124,1
3,137,1
3,193,1
4,28,3
4,159,2
4,144,1
4,62,2
4,134,2
4,167,2
4,84,1
4,169,1
4,115,1
4,64,1
4,36,1
5,8,3
5,41,2
5,13,3
5,142,1
5,62,1
5,87,1
5,79,1
5,144,1
5,134,1
6,15,2
6,147,1
6,184,1
6,134,1
7,176,1
7,66,1
7,90,1
7,144,3
7,159,1
7,87,1
7,74,1
7,131,1
9,81,2
9,75,2
9,181,1
9,86,2
9,120,2
9,144,3
9,7,3
9,159,1
9,134,1
9,19,2
10,35,1
10,30,1
10,19,1
11,159,1
11,144,1
11,134,1
11,147,1
11,62,1
11,79,1
11,87,1
11,31,2
11,129,1
12,16,3
12,159,1
12,62,1
12,147,1
12,87,1
12,118,1
13,94,1
13,5,2
13,168,1
13,116,1
13,62,1
13,79,1
13,164,1
14,16,2
14,144,1
14,25,3
14,191,2
15,6,3
15,13,1
16,12,2
16,14,1
17,22,1
17,61,1
17,149,1
17,88,1
17,160,1
18,32,2
18,144,1
19,144,1
19,22,1
19,17,1
20,34,3
20,144,3
20,7,2
20,77,2
20,194,3
20,161,1
21,145,1
21,92,1
21,65,1
21,8,1
21,5,1
22,113,1
22,133,1
22,144,1
22,159,1
22,79,1
22,134,1
22,62,1
23,188,2
23,71,3
23,143,1
23,117,1
23,153,1
23,111,1
23,158,1
23,159,2
23,134,2
23,26,3
25,99,3
25,179,1
25,121,1
25,14,3
25,49,1
25,165,1
26,23,2
27,47,1
27,136,1
27,59,1
27,43,1
27,13,1
27,115,1
27,144,1
28,4,1
29,35,1
29,159,1
29,69,1
29,103,1
30,10,3
30,122,1
30,130,1
30,163,1
30,182,1
30,144,1
30,147,1
30,159,1
30,79,1
30,62,1
30,134,1
31,134,1
31,62,1
31,79,1
31,44,1
31,60,1
31,11,3
32,18,3
32,144,2
32,79,1
32,159,1
32,134,1
32,62,1
32,55,1
33,56,1
35,152,1
35,144,1
35,128,1
35,109,1
